Z(km) N2 CO2 CO O O2 N H NO H2 H2O
1 8.363E+13 1.768E+17 1.026E+13 1.15E+12 1.085E+13 796700000 1753666.667 3.69E+11 959700 3.69E+11
2 7.78797E+13 1.58076E+17 9.55454E+12 1.10413E+12 1.00017E+13 768822408.2 1749210.735 3.41884E+11 949983.0186 3.41884E+11
3 7.25249E+13 1.41335E+17 8.89759E+12 1.06008E+12 9.21967E+12 741920290.3 1744766.125 3.16761E+11 940364.4218 3.16761E+11
4 6.75382E+13 1.26367E+17 8.2858E+12 1.0178E+12 8.49881E+12 715959513.3 1740332.809 2.93484E+11 930843.2135 2.93484E+11
5 6.28944E+13 1.12984E+17 7.71609E+12 9.772E+11 7.83431E+12 690907138.4 1735910.757 2.71917E+11 921418.4076 2.71917E+11
6 5.85699E+13 1.01019E+17 7.18554E+12 9.3822E+11 7.22177E+12 666731379.4 1731499.942 2.51936E+11 912089.0281 2.51936E+11
7 5.45427E+13 9.03203E+16 6.69148E+12 9.00795E+11 6.65712E+12 643401562.3 1727100.334 2.33422E+11 902854.1087 2.33422E+11
8 5.07924E+13 8.07549E+16 6.23138E+12 8.64863E+11 6.13662E+12 620888086.5 1722711.905 2.16269E+11 893712.6931 2.16269E+11
9 4.73E+13 7.22026E+16 5.80292E+12 8.30365E+11 5.65681E+12 599162387.2 1718334.627 2.00377E+11 884663.8345 2.00377E+11
10 4.40478E+13 6.4556E+16 5.40392E+12 7.97242E+11 5.21452E+12 578196899 1713968.471 1.85652E+11 875706.5957 1.85652E+11
11 4.10191E+13 5.77192E+16 5.03236E+12 7.65441E+11 4.80682E+12 557965021 1709613.409 1.72009E+11 866840.0492 1.72009E+11
12 3.81987E+13 5.16065E+16 4.68634E+12 7.34908E+11 4.43099E+12 538441083.4 1705269.413 1.59369E+11 858063.2766 1.59369E+11
13 3.55722E+13 4.61411E+16 4.36412E+12 7.05593E+11 4.08454E+12 519600314.3 1700936.455 1.47658E+11 849375.369 1.47658E+11
14 3.31264E+13 4.12546E+16 4.06405E+12 6.77448E+11 3.76518E+12 501418808.7 1696614.506 1.36808E+11 840775.4267 1.36808E+11
15 3.08486E+13 3.68855E+16 3.78461E+12 6.50425E+11 3.47079E+12 483873498.2 1692303.539 1.26754E+11 832262.5589 1.26754E+11
16 2.87275E+13 3.29792E+16 3.52439E+12 6.2448E+11 3.19942E+12 466942121.4 1688003.526 1.1744E+11 823835.8841 1.1744E+11
17 2.67523E+13 2.94865E+16 3.28206E+12 5.9957E+11 2.94927E+12 450603196 1683714.439 1.0881E+11 815494.5296 1.0881E+11
18 2.49129E+13 2.63638E+16 3.05639E+12 5.75654E+11 2.71867E+12 434835991.3 1679436.251 1.00814E+11 807237.6314 1.00814E+11
19 2.31999E+13 2.35717E+16 2.84624E+12 5.52692E+11 2.50611E+12 419620502 1675168.933 93405673407 799064.3345 93405673407
20 2.16047E+13 2.10754E+16 2.65054E+12 5.30645E+11 2.31016E+12 404937423 1670912.457 86541787422 790973.7924 86541787422
21 2.01192E+13 1.88434E+16 2.46829E+12 5.09478E+11 2.12954E+12 390768124.4 1666666.798 80182291899 782965.1671 80182291899
22 1.87358E+13 1.68478E+16 2.29857E+12 4.89156E+11 1.96304E+12 377094628.3 1662431.926 74290121867 775037.6294 74290121867
23 1.74476E+13 1.50635E+16 2.14053E+12 4.69644E+11 1.80955E+12 363899586.1 1658207.814 68830936062 767190.3581 68830936062
24 1.62479E+13 1.34682E+16 1.99335E+12 4.5091E+11 1.66807E+12 351166256 1653994.436 63772916777 759422.5406 63772916777
25 1.51307E+13 1.20419E+16 1.85629E+12 4.32924E+11 1.53765E+12 338878482 1649791.763 59086584419 751733.3725 59086584419
26 1.40904E+13 1.07666E+16 1.72865E+12 4.15655E+11 1.41742E+12 327020673.5 1645599.77 54744625693 744122.0573 54744625693
27 1.31216E+13 9.62635E+15 1.6098E+12 3.99074E+11 1.3066E+12 315577785.5 1641418.427 50721734413 736587.8068 50721734413
28 1.22193E+13 8.60687E+15 1.49911E+12 3.83156E+11 1.20444E+12 304535299.4 1637247.71 46994464009 729129.8407 46994464009
29 1.13792E+13 7.69537E+15 1.39603E+12 3.67872E+11 1.11027E+12 293879204.5 1633087.589 43541090878 721747.3867 43541090878
30 1.05967E+13 6.88039E+15 1.30004E+12 3.53198E+11 1.02346E+12 283595980.6 1628938.04 40341487764 714439.6802 40341487764
31 9.86813E+12 6.15172E+15 1.21065E+12 3.39109E+11 9.43437E+11 273672580.3 1624799.033 37377006460 707205.9644 37377006460
32 9.18962E+12 5.50023E+15 1.12741E+12 3.25582E+11 8.69673E+11 264096413 1620670.544 34630369115 700045.49 34630369115
33 8.55776E+12 4.91773E+15 1.04989E+12 3.12595E+11 8.01676E+11 254855328.5 1616552.545 32085567535 692957.5157 32085567535
34 7.96934E+12 4.39692E+15 9.77704E+11 3.00126E+11 7.38995E+11 245937601.8 1612445.01 29727769884 685941.3072 29727769884
35 7.42138E+12 3.93126E+15 9.10479E+11 2.88154E+11 6.81215E+11 237331918.3 1608347.911 27543234238 678996.1379 27543234238
36 6.9111E+12 3.51492E+15 8.47876E+11 2.7666E+11 6.27953E+11 229027359.1 1604261.223 25519228495 672121.2887 25519228495
37 6.4359E+12 3.14268E+15 7.89578E+11 2.65624E+11 5.78855E+11 221013387.4 1600184.919 23643956164 665316.0474 23643956164
38 5.99338E+12 2.80985E+15 7.35288E+11 2.55029E+11 5.33596E+11 213279835.2 1596118.972 21906487621 658579.7093 21906487621
39 5.58129E+12 2.51228E+15 6.84731E+11 2.44856E+11 4.91876E+11 205816890.3 1592063.357 20296696396 651911.5767 20296696396
40 5.19753E+12 2.24621E+15 6.3765E+11 2.35089E+11 4.53417E+11 198615083.8 1588018.047 18805200164 645310.9592 18805200164
41 4.84016E+12 2.00833E+15 5.93806E+11 2.25711E+11 4.17966E+11 191665278 1583983.015 17423306055 638777.173 17423306055
42 4.50736E+12 1.79564E+15 5.52977E+11 2.16708E+11 3.85286E+11 184958655.2 1579958.236 16142959991 632309.5416 16142959991
43 4.19744E+12 1.60547E+15 5.14955E+11 2.08064E+11 3.55162E+11 178486706.1 1575943.684 14956699748 625907.395 14956699748
44 3.90883E+12 1.43544E+15 4.79548E+11 1.99764E+11 3.27393E+11 172241219 1571939.333 13857611459 619570.0703 13857611459
