Z(km) O2+ O+ CO2+ CO+ NO+ N2+ OH+ H+ HCO+
100 0.0113 3.98 8.8 3.9 39.6 0.283 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.283 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.283 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.283 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.283 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.283 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.283 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.283 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.282 0 2.95E-08 0
100 0.0113 3.98 8.8 3.9 39.6 0.282 0 2.95E-08 0
100 0.0113 3.98 8.79 3.9 39.6 0.282 0 2.95E-08 0
100 0.0113 3.98 8.79 3.9 39.6 0.282 0 2.95E-08 0
100 0.0113 3.98 8.79 3.9 39.6 0.282 0 2.95E-08 0
100 0.0113 3.98 8.79 3.89 39.6 0.282 0 2.95E-08 0
100.001 0.0113 3.98 8.79 3.89 39.6 0.282 0 2.94E-08 0
100.001 0.0113 3.97 8.78 3.89 39.6 0.282 0 2.94E-08 0
100.001 0.0113 3.97 8.78 3.89 39.6 0.282 0 2.94E-08 0
100.001 0.0113 3.97 8.78 3.89 39.6 0.282 0 2.94E-08 0
100.002 0.0112 3.97 8.77 3.89 39.6 0.282 0 2.94E-08 0
100.002 0.0112 3.97 8.77 3.89 39.6 0.282 0 2.94E-08 0
100.002 0.0112 3.97 8.77 3.89 39.6 0.282 0 2.94E-08 0
100.003 0.0112 3.97 8.77 3.89 39.6 0.282 0 2.94E-08 0
100.004 0.0112 3.97 8.76 3.88 39.6 0.281 0 2.94E-08 0
100.004 0.0112 3.96 8.76 3.88 39.6 0.281 0 2.94E-08 0
100.005 0.0112 3.96 8.76 3.88 39.6 0.281 0 2.93E-08 0
100.006 0.0112 3.96 8.76 3.88 39.5 0.281 0 2.94E-08 0
100.007 0.0112 3.96 8.75 3.88 39.5 0.281 0 2.93E-08 0
100.008 0.0112 3.96 8.75 3.88 39.5 0.281 0 2.93E-08 0
100.009 0.0112 3.96 8.75 3.88 39.5 0.281 0 2.93E-08 0
100.011 0.0112 3.96 8.74 3.88 39.5 0.281 0 2.93E-08 0
100.012 0.0112 3.96 8.74 3.88 39.5 0.281 0 2.93E-08 0
100.014 0.0112 3.95 8.74 3.87 39.5 0.281 0 2.93E-08 0
100.016 0.0112 3.95 8.74 3.87 39.5 0.281 0 2.93E-08 0
100.018 0.0112 3.95 8.73 3.87 39.5 0.28 0 2.93E-08 0
100.021 0.0112 3.95 8.73 3.87 39.5 0.281 0 2.93E-08 0
100.023 0.0112 3.95 8.73 3.87 39.5 0.281 0 2.93E-08 0
100.026 0.0112 3.95 8.73 3.87 39.5 0.281 0 2.93E-08 0
100.029 0.0112 3.95 8.73 3.87 39.5 0.281 0 2.94E-08 0
100.032 0.0112 3.95 8.73 3.87 39.5 0.281 0 2.94E-08 0
100.036 0.0112 3.95 8.73 3.87 39.5 0.281 0 2.94E-08 0
100.039 0.0112 3.95 8.73 3.87 39.5 0.28 0 2.94E-08 0
100.043 0.0112 3.95 8.73 3.87 39.4 0.28 0 2.94E-08 0
100.048 0.0112 3.95 8.73 3.87 39.4 0.28 0 2.94E-08 0
100.052 0.0112 3.95 8.73 3.87 39.4 0.281 0 2.95E-08 0
100.057 0.0112 3.95 8.73 3.87 39.4 0.281 0 2.95E-08 0
100.063 0.0112 3.95 8.73 3.87 39.4 0.281 0 2.95E-08 0
100.069 0.0113 3.95 8.74 3.87 39.4 0.281 0 2.96E-08 0
100.075 0.0113 3.96 8.74 3.88 39.4 0.281 0 2.96E-08 0
100.081 0.0113 3.96 8.75 3.88 39.4 0.281 0 2.97E-08 0
100.088 0.0113 3.96 8.75 3.88 39.3 0.281 0 2.97E-08 0
100.096 0.0113 3.96 8.75 3.88 39.3 0.282 0 2.98E-08 0
100.104 0.0113 3.96 8.76 3.88 39.3 0.282 0 2.98E-08 0
100.111 0.0113 3.97 8.77 3.89 39.3 0.282 0 2.99E-08 0
100.12 0.0114 3.97 8.77 3.89 39.3 0.282 0 0.00000003 0
100.129 0.0114 3.97 8.78 3.89 39.3 0.282 0 3.01E-08 0
100.138 0.0114 3.98 8.79 3.9 39.2 0.283 0 3.01E-08 0
100.149 0.0114 3.98 8.8 3.9 39.2 0.283 0 3.02E-08 0
100.159 0.0114 3.99 8.81 3.9 39.2 0.283 0 3.03E-08 0
100.171 0.0115 3.99 8.82 3.91 39.2 0.284 0 3.05E-08 0
100.183 0.0115 4 8.83 3.91 39.2 0.284 0 3.05E-08 0
100.195 0.0115 4 8.84 3.92 39.1 0.285 0 3.07E-08 0
100.208 0.0116 4.01 8.86 3.93 39.1 0.285 0 3.08E-08 0
100.222 0.0116 4.02 8.87 3.93 39.1 0.286 0 3.09E-08 0
100.237 0.0117 4.03 8.89 3.94 39 0.287 0 3.11E-08 0
100.252 0.0117 4.03 8.91 3.95 39 0.287 0 3.12E-08 0
100.268 0.0117 4.04 8.93 3.96 39 0.288 0 3.14E-08 0
100.284 0.0118 4.05 8.95 3.97 39 0.288 0 3.16E-08 0
100.302 0.0118 4.06 8.97 3.98 38.9 0.289 0 3.18E-08 0
100.32 0.0119 4.07 8.99 3.99 38.9 0.29 0 0.000000032 0
100.339 0.012 4.09 9.02 4 38.9 0.291 0 3.22E-08 0
100.359 0.012 4.1 9.05 4.01 38.8 0.292 0 3.24E-08 0
100.379 0.0121 4.11 9.07 4.02 38.8 0.293 0 3.27E-08 0
100.401 0.0121 4.12 9.1 4.04 38.7 0.294 0 3.29E-08 0
100.423 0.0122 4.14 9.14 4.05 38.7 0.295 0 3.32E-08 0
100.446 0.0123 4.15 9.17 4.07 38.7 0.296 0 3.35E-08 0
100.47 0.0124 4.17 9.2 4.08 38.6 0.297 0 3.38E-08 0
100.496 0.0125 4.19 9.24 4.1 38.6 0.299 0 3.41E-08 0
100.522 0.0125 4.2 9.28 4.12 38.5 0.3 0 3.44E-08 0
100.549 0.0126 4.22 9.31 4.13 38.5 0.301 0 3.47E-08 0
100.577 0.0127 4.24 9.35 4.15 38.4 0.303 0 3.51E-08 0
100.606 0.0128 4.26 9.4 4.17 38.4 0.304 0 3.55E-08 0
100.636 0.0129 4.28 9.44 4.19 38.3 0.306 0 3.58E-08 0
100.668 0.013 4.3 9.49 4.21 38.3 0.307 0 3.63E-08 0
100.7 0.0132 4.33 9.54 4.23 38.2 0.309 0 3.67E-08 0
100.734 0.0133 4.35 9.59 4.26 38.1 0.311 0 3.72E-08 0
100.768 0.0134 4.38 9.65 4.28 38.1 0.313 0 3.77E-08 0
100.804 0.0135 4.4 9.71 4.31 38 0.315 0 3.82E-08 0
100.842 0.0137 4.43 9.76 4.33 37.9 0.317 0 3.87E-08 0
100.88 0.0138 4.46 9.83 4.36 37.9 0.319 0 3.93E-08 0
100.92 0.014 4.49 9.89 4.39 37.8 0.321 0 3.98E-08 0
100.961 0.0141 4.52 9.96 4.42 37.7 0.324 0 4.04E-08 0
101.003 0.0143 4.55 10 4.45 37.7 0.326 0 4.11E-08 0
101.047 0.0145 4.59 10.1 4.49 37.6 0.329 0 4.18E-08 0
101.092 0.0147 4.63 10.2 4.53 37.5 0.332 0 4.26E-08 0
101.139 0.0149 4.67 10.3 4.57 37.4 0.335 0 4.33E-08 0
101.187 0.0151 4.72 10.4 4.62 37.3 0.338 0 4.42E-08 0
101.236 0.0153 4.77 10.5 4.66 37.3 0.342 0 4.51E-08 0
101.287 0.0156 4.81 10.6 4.7 37.2 0.345 0 0.000000046 0
101.339 0.0158 4.86 10.7 4.75 37.1 0.349 0 0.000000047 0
101.393 0.0161 4.91 10.8 4.8 37 0.353 0 0.000000048 0
101.449 0.0164 4.97 10.9 4.86 36.9 0.357 0 4.91E-08 0
101.506 0.0166 5.02 11 4.91 36.8 0.361 0 5.02E-08 0
101.564 0.0169 5.08 11.2 4.97 36.7 0.365 0 5.13E-08 0
101.625 0.0172 5.14 11.3 5.02 36.6 0.37 0 5.25E-08 0
101.687 0.0176 5.2 11.4 5.08 36.5 0.374 0 5.38E-08 0
101.751 0.0179 5.27 11.6 5.15 36.4 0.379 0 5.52E-08 0
101.816 0.0182 5.33 11.7 5.21 36.3 0.384 0 5.66E-08 0
101.884 0.0186 5.4 11.9 5.28 36.2 0.389 0 5.81E-08 0
101.953 0.019 5.47 12 5.34 36 0.394 0 5.96E-08 0
102.024 0.0194 5.55 12.2 5.42 35.9 0.4 0 6.13E-08 0
102.097 0.0198 5.62 12.3 5.49 35.8 0.406 0 0.000000063 0
102.171 0.0202 5.69 12.5 5.56 35.7 0.411 0 6.47E-08 0
102.248 0.0207 5.78 12.7 5.64 35.5 0.417 0 6.66E-08 0
102.326 0.0212 5.86 12.8 5.72 35.4 0.424 0 6.86E-08 0
102.407 0.0216 5.94 13 5.8 35.2 0.43 0 7.06E-08 0
102.489 0.0221 6.03 13.2 5.89 35.1 0.436 0 7.27E-08 0
102.574 0.0227 6.12 13.4 5.98 35 0.443 0 0.000000075 0
102.661 0.0232 6.22 13.6 6.07 34.8 0.45 0 7.73E-08 0
102.749 0.0238 6.32 13.8 6.16 34.6 0.458 0 7.98E-08 0
102.84 0.0244 6.42 14 6.26 34.5 0.465 0 8.24E-08 0
102.933 0.025 6.52 14.3 6.36 34.3 0.473 0 8.51E-08 0
103.028 0.0256 6.63 14.5 6.46 34.2 0.481 0 0.000000088 0
103.126 0.0263 6.73 14.7 6.57 34 0.489 0 9.09E-08 0
103.225 0.027 6.85 15 6.68 33.8 0.498 0 9.41E-08 0
103.327 0.0277 6.97 15.2 6.79 33.6 0.507 0 9.74E-08 0
103.431 0.0285 7.08 15.5 6.9 33.4 0.516 0 0.000000101 0
103.538 0.0293 7.21 15.7 7.02 33.2 0.525 0 0.000000104 0
103.647 0.0301 7.33 16 7.15 33.1 0.535 0 0.000000108 0
103.758 0.0309 7.47 16.3 7.27 32.9 0.545 0 0.000000112 0
103.872 0.0318 7.6 16.6 7.4 32.7 0.555 0 0.000000116 0
103.988 0.0327 7.73 16.9 7.53 32.5 0.565 0 0.000000121 0
104.106 0.0337 7.88 17.2 7.67 32.2 0.576 0 0.000000125 0
104.228 0.0347 8.03 17.5 7.82 32 0.588 0 0.00000013 0
104.351 0.0357 8.19 17.8 7.97 31.8 0.6 0 0.000000136 0
104.477 0.0368 8.34 18.2 8.12 31.6 0.612 0 0.000000141 0
104.606 0.0379 8.51 18.5 8.27 31.4 0.624 0 0.000000147 0
104.738 0.0391 8.67 18.9 8.43 31.1 0.637 0 0.000000153 0
104.872 0.0403 8.84 19.2 8.6 30.9 0.65 0 0.000000159 0
105.009 0.0416 9.02 19.6 8.76 30.7 0.664 0 0.000000165 0
105.148 0.043 9.22 20 8.96 30.4 0.679 0 0.000000173 0
105.291 0.0445 9.43 20.5 9.16 30.2 0.695 0 0.000000181 0
105.436 0.046 9.64 20.9 9.36 29.9 0.711 0 0.000000189 0
105.583 0.0476 9.86 21.4 9.57 29.7 0.728 0 0.000000198 0
105.734 0.0492 10.1 21.8 9.78 29.4 0.744 0 0.000000206 0
105.888 0.0509 10.3 22.3 10 29.1 0.762 0 0.000000216 0
106.044 0.0526 10.5 22.8 10.2 28.9 0.78 0 0.000000226 0
106.204 0.0544 10.8 23.3 10.4 28.6 0.798 0 0.000000236 0
106.366 0.0562 11 23.8 10.7 28.3 0.816 0 0.000000247 0
106.532 0.0581 11.2 24.3 10.9 28 0.835 0 0.000000259 0
106.7 0.06 11.5 24.8 11.1 27.8 0.854 0 0.000000271 0
106.872 0.062 11.7 25.3 11.4 27.5 0.873 0 0.000000283 0
107.046 0.0641 12 25.9 11.6 27.2 0.893 0 0.000000296 0
107.224 0.0662 12.3 26.4 11.9 26.9 0.914 0 0.00000031 0
107.405 0.0684 12.5 27 12.1 26.6 0.934 0 0.000000325 0
107.589 0.0706 12.8 27.5 12.4 26.3 0.955 0 0.00000034 0
107.776 0.0729 13.1 28.1 12.6 26 0.976 0 0.000000356 0
107.967 0.0752 13.3 28.7 12.9 25.7 0.997 0 0.000000373 0
108.16 0.0775 13.6 29.2 13.1 25.4 1.02 0 0.00000039 0
108.358 0.0799 13.9 29.8 13.4 25 1.04 0 0.000000408 0
108.558 0.0822 14.1 30.3 13.6 24.7 1.06 0 0.000000427 0
108.762 0.0847 14.4 30.9 13.9 24.4 1.08 0 0.000000448 0
108.969 0.0872 14.7 31.5 14.2 24.1 1.1 0 0.000000469 0
109.18 0.0897 14.9 32 14.4 23.7 1.13 0 0.000000492 0
109.394 0.0922 15.2 32.6 14.7 23.4 1.15 0 0.000000517 0
109.612 0.0947 15.5 33.1 14.9 23.1 1.17 0 0.000000544 0
109.833 0.0973 15.8 33.7 15.2 22.7 1.19 0 0.000000574 0
110.057 0.1 16.1 34.3 15.5 22.4 1.21 0 0.000000609 0
110.286 0.103 16.4 35 15.8 22.1 1.24 0 0.00000065 0
110.518 0.106 16.7 35.6 16.1 21.7 1.26 0 0.000000698 0
110.753 0.108 17 36.3 16.4 21.4 1.29 0 0.000000756 0
110.992 0.111 17.3 37 16.7 21 1.32 0 0.000000829 0
111.235 0.114 17.7 37.7 17 20.7 1.34 0 0.000000916 0
111.482 0.117 18 38.5 17.3 20.3 1.36 0 0.00000102 0
111.732 0.12 18.3 39.3 17.6 20 1.39 0 0.00000117 0
111.986 0.123 18.7 40.2 18 19.6 1.42 0 0.00000135 0
112.244 0.126 19.1 41.2 18.4 19.3 1.45 0 0.00000157 0
112.506 0.129 19.5 42.2 18.8 18.9 1.48 0 0.00000186 0
112.772 0.132 20 43.4 19.2 18.6 1.52 0 0.00000222 0
113.041 0.136 20.5 44.9 19.7 18.2 1.56 0 0.00000269 0
113.315 0.14 21.1 46.6 20.3 17.9 1.6 0 0.00000329 0
113.592 0.145 21.8 48.5 21 17.5 1.65 0 0.00000405 0
113.874 0.15 22.6 50.9 21.7 17.2 1.7 0 0.00000503 0
114.159 0.155 23.4 53.4 22.5 16.9 1.76 0 0.0000062 0
114.449 0.161 24.3 56.3 23.4 16.5 1.83 0 0.00000763 0
114.743 0.168 25.3 59.6 24.4 16.2 1.9 0 0.00000936 0
115.04 0.175 26.4 63.3 25.5 15.8 1.98 0 0.0000115 0
115.342 0.182 27.3 66.8 26.4 15.5 2.05 0 0.0000137 0
115.648 0.19 28.4 70.8 27.5 15.1 2.13 0 0.0000163 0
115.959 0.199 29.7 75.3 28.7 14.8 2.22 0 0.0000194 0
116.273 0.209 31 80.4 30.1 14.5 2.33 0 0.000023 0
116.592 0.221 32.6 86.2 31.6 14.1 2.44 0 0.0000273 0
116.915 0.234 34.3 92.7 33.3 13.8 2.57 0 0.0000323 0
