si s(si) x(si) y(si)
1 0 73.223 149.9991382
2 5.1655 74.953 154.8683823
3 10.331 76.697 159.7285615
4 15.4965 78.458 164.5867379
5 20.662 80.234 169.436042
6 25.8275 82.027 174.2805702
7 30.993 83.836 179.1162008
8 36.1585 85.664 183.9494328
9 41.324 87.509 188.7733994
10 46.4895 89.373 193.591735
11 51.655 91.255 198.4001998
12 56.8205 93.158 203.2046963
13 61.986 95.08 207.9983488
14 67.1515 97.023 212.7842998
15 72.317 98.988 217.5630068
16 77.4825 100.974 222.3300106
17 82.648 102.983 227.0880137
18 87.8135 105.016 231.837118
19 92.979 107.073 236.5749814
20 98.1445 109.156 241.3037413
21 103.31 111.264 246.0185784
22 108.4755 113.399 250.7213344
23 113.641 115.563 255.4135442
24 118.8065 117.755 260.0900798
25 123.972 119.977 264.7521558
26 129.1375 122.231 269.4006611
27 134.303 124.517 274.0321337
28 139.4685 126.837 278.6470034
29 144.634 129.193 283.24535
30 149.7995 131.585 287.8231022
31 154.965 134.016 292.381694
32 160.1305 136.486 296.9165744
33 165.296 138.999 301.430224
34 170.4615 141.556 305.9191909
35 175.627 144.158 310.3797683
36 180.7925 146.81 314.8145912
37 185.958 149.511 319.215687
38 191.1235 152.267 323.5860857
39 196.289 155.078 327.9185113
40 201.4545 157.949 332.2129072
41 206.62 160.883 336.4652825
42 211.7855 163.882 340.6695206
43 216.951 166.952 344.8242376
44 222.1165 170.096 348.9228063
45 227.282 173.319 352.9601939
46 232.4475 176.625 356.928875
47 237.613 180.019 360.8212771
48 242.7785 183.508 364.6305115
49 247.944 187.097 368.3457007
50 253.1095 190.792 371.9553019
51 258.275 194.599 375.4458336
52 263.4405 198.525 378.802595
53 268.606 202.576 382.0077138
54 273.7715 206.757 385.0403436
55 278.937 211.073 387.8775094
56 284.1025 215.526 390.4923466
57 289.268 220.118 392.8565286
58 294.4335 224.845 394.9378078
59 299.599 229.699 396.7029552
60 304.7645 234.665 398.1187022
61 309.93 239.724 399.1552306
62 315.0955 244.849 399.7877376
63 320.261 250.009 399.9999994
64 325.4265 255.169 399.7862515
65 330.592 260.294 399.1522685
66 335.7575 265.352 398.1145288
67 340.923 270.319 396.6971059
68 346.0885 275.172 394.9309633
69 351.254 279.898 392.8488768
70 356.4195 284.489 390.484071
71 361.585 288.943 387.867542
72 366.7505 293.258 385.0299635
73 371.916 297.439 381.9963302
74 377.0815 301.489 378.791063
75 382.247 305.414 375.4343088
76 387.4125 309.221 371.9429853
77 392.578 312.916 368.3326156
78 397.7435 316.504 364.6177439
79 402.909 319.993 360.8078396
80 408.0745 323.387 356.9147858
81 413.24 326.693 352.94547
82 418.4055 329.915 348.9087422
83 423.571 333.059 344.8096202
84 428.7365 336.128 340.6557409
85 433.902 339.128 336.4495969
86 439.0675 342.061 332.1981782
87 444.233 344.932 327.903323
88 449.3985 347.743 323.5704476
89 454.564 350.498 319.201216
90 459.7295 353.2 314.79808
91 464.895 355.851 310.3645264
92 470.0605 358.453 305.9035743
93 475.226 361.01 301.4142392
94 480.3915 363.522 296.9020441
95 485.557 365.993 292.3649916
96 490.7225 368.423 287.8079446
97 495.888 370.815 283.2298862
98 501.0535 373.171 278.6312381
99 506.219 375.491 274.0160714
100 511.3845 377.777 269.3843062
101 516.55 380.031 264.7355123
102 521.7155 382.253 260.0731519
103 526.881 384.445 255.3963358
104 532.0465 386.608 250.7060347
105 537.212 388.743 246.0030396
106 542.3775 390.852 241.2857128
107 547.543 392.934 236.5589732
108 552.7085 394.991 231.8208794
109 557.874 397.024 227.0715474
110 563.0395 399.033 222.3133193
111 568.205 401.019 217.5460931
112 573.3705 402.984 212.767166
113 578.536 404.927 207.9809974
114 583.7015 406.849 203.1871296
115 588.867 408.751 198.38496
116 594.0325 410.634 193.5737444
117 599.198 412.497 188.7577999
118 604.3635 414.343 183.9310268
119 609.529 416.17 179.1002488
120 614.6945 417.98 174.2617568
121 619.86 419.773 169.4170278
122 625.0255 421.549 164.5675248
123 630.191 423.309 159.7119242
124 635.3565 425.054 154.8487767
125 640.522 426.783 149.9821673
